	strain	date	accession	authors	institution	focus_areas
2412	Z22IRL00597	2022-09-01	OR146416	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
2413	MPXV_USA_2022_MA0138	2022-XX-XX	OP890489	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2414	MPXV/Germany/2024/ON/RKI1153	2024-11-XX	PQ662912	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2415	MPXV/Germany/2024/ON/RKI1116	2024-08-XX	PQ352010	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2416	CIBU-220031	2022-06-03	OR473631	Kwasiborski et al.	Insitut Pasteur, Environment and Infectious Risks Unit	Global
2417	MPXV/Germany/2022/RKI132	2022-07-XX	ON929087	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2418	MPXV/UZ_REGA_27	2022-07-15	OR030938	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2419	MPXV/Germany/2022/ON/RKI760	2022-07-XX	OR463741	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2420	MPXV/Germany/2022/RKI183	2022-07-XX	OP018591	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2421	Monkeypox/PT0349/2022	2022-05-26	OP414378	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2422	MPXV/Germany/2022/RKI586	2022-06-XX	OP837348	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2423	MPXV/Germany/2023/ON/RKI1035	2023-10-XX	OR777673	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2424	MPXV_USA_2022_VA0008	2022-06-XX	OP378711	Gigante et al.	CDC, DHCPP-PRB	North America
2425	ANT-LDSP-ANT-MPX-26266O	2022-09-26	OP881937	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
2426	NY-NYCPHL-000133	2022-06-XX	OQ469144	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2427	NY-NYCPHL-000291	2022-08-XX	OQ468859	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2428	NY-NYCPHL-000004	2022-07-XX	OQ469112	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2429	hMpxV/USA/ID-IBL-841935/2022	2022-07-29	OP381205	Ceniseros et al.	Idaho Bureau of Laboratories, Molecular Epidemiology	North America
2430	MPX/Human/USA/CA-LACPHL-MA00247/2022	2022-07-16	OP722506	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2431	hMPXV/P10/2022	2022-07-05	PV034564	Mistral De Pascali et al.	Alma Mater Studiorum - University of Bologna, Department of Medical and Surgical Sciences (DIMEC)	Global
2432	LC852832	2023-04-03	LC852832	?	Shinjuku, Tokyo 162-8640	Global
2433	VAC_INS_MPX_1050_E	2022-10-26	OP837470	Laiton-Donato et al.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Global
2434	MPX_8gbW2X_9000262	2022-08-XX	OP415231	Groves et al.	UKHSA, Research and Evaluation	Global
2435	MPX/PT0078/2022	2022-07-26	OP245332	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2436	NY-NYCPHL-001134	2022-07-XX	OQ468593	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2437	NY-NYCPHL-000940	2022-07-XX	OQ468694	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2438	MPXV/PT0803/2023	2023-11-28	PP025037	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2439	MPXV/Germany/2022/ON/RKI848	2022-07-XX	OQ773467	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2440	NY-NYCPHL-000050	2022-06-XX	OQ469123	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2441	hMPXV/USA/NC-UNC-0017/2022	2022-08-24	OP480416	Deanhardt et al.	University of North Carolina at Chapel Hill, Department of Genetics	North America
2442	NY-NYCPHL-000978	2022-07-XX	OQ565538	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2443	MPXV_UK_2022_9000630	2022-10-10	PQ510603	Groves et al.	UKHSA, Research and Evaluation	Global
2444	Z22IRL00548	2022-08-26	OR146404	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
2445	MPXV_UK_2022_9000173	2022-05-26	OP205124	Groves et al.	UKHSA, Research and Evaluation	Global
2446	MPXV/Human/USA/CA-CDPH-MPX000024/2022	2022-07-13	OP587253	Probert et al.	CDPH, VRDL	Other California
2447	MPX_rYdyAi_9000329	2022-08-XX	OP415267	Groves et al.	UKHSA, Research and Evaluation	Global
2448	NY-NYCPHL-000302	2022-08-XX	OQ468475	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2449	NY-NYCPHL-001351	2024-06-XX	PQ065586	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2450	MPXV/Germany/2022/ON/RKI859	2022-07-XX	OQ773478	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2451	MPXV_USA_2022_WA0025	2022-07-XX	PQ686955	Gigante et al.	CDC, DHCPP-PRB	North America
2452	hMpxV/USA/IL-RIPHL-MPXV-04-0044/2023	2023-05-10	OR421482	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
2453	hMpxV/Canada/ON-PHOL148/2022	2022-07-01	OR759232	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
2454	ANT-LDSP-ANT-MPX-23265-C	2022-08-23	OP477452	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
2455	MPXV_USA_2022_NV0003	2022-07-XX	OP604524	Gigante et al.	CDC, DHCPP-PRB	North America
2456	NY-NYCPHL-000813	2022-07-XX	OQ565452	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2457	MPXV/USA/2024/MA0222	2024-XX-XX	PP746595	Doucette et al.	Massachusetts State Public Health Laboratory, Department of Public Health	North America
2458	MPXV/Germany/2022/RKI043	2022-06-XX	ON755249	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2459	MPXV/Germany/2022/RKI581	2022-06-XX	OP837343	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2460	MPXV/Germany/2022/ON/RKI720	2022-05-XX	OQ547747	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2461	MPXV/Germany/2022/RKI470	2022-07-XX	OP626108	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2462	hMpxV/USA/CACDPH1MPX1000182/2022	2022-06-22	OQ547898	Probert et al.	CDPH, VRDL	Other California
2463	hMPXV/Australia/VIC-7288/2024	2024-07-18	PQ153214	Edenborough et al.	Melbourne Health, VIDRL	Global
2464	NY-NYCPHL-000881	2022-07-XX	OQ468678	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2465	MPXV/Germany/2022/RKI270	2022-08-XX	OP215288	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2466	MPXV_USA_2022_MA0103	2022-XX-XX	OP890458	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2467	Monkeypox/PT0448/2022	2022-08-04	OP555529	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2468	NY-NYCPHL-001115	2022-07-XX	OQ468584	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2469	MPXV/Germany/2022/ON/RKI646	2022-08-XX	OQ159041	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2470	hMpxV/USA/CA-CDPH-1MPX1000272/2023	2023-02-22	PQ781683	Kath et al.	CDPH, VRDL	Other California
2471	NY-NYCPHL-000755	2022-07-XX	OQ468644	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2472	MPX/Human/USA/CA-LACPHL-MA00185/2022	2022-09-26	OP615258	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2473	MPXV/UZ_REGA_244/Belgium/2022	2022-08-16	OR095062	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2474	MPXV/UZ_REGA_57	2022-06-09	OR035663	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2475	SDM5	2023-XX-XX	PP977065	Thomas et al.	Yale School of Public Health, Epidemiology of Microbial Diseases	North America
2476	TRM330	2022-XX-XX	PP853024	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
2477	NY-NYCPHL-000348	2022-08-XX	OQ468958	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2478	Monkeypox/PT0014/2022	2022-05-23	ON649724	Isidro et al.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal	Global
2479	MPXV/Germany/2024/ON/RKI1147	2024-10-XX	PQ662906	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2480	hMPX/USA/CA-LACPHL-MA00168/2022	2022-09-19	OP580601	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2481	MPXV_USA_2022_TX0055	2022-12-XX	OR464208	Gigante et al.	CDC, DHCPP-PRB	North America
2482	Monkeypox virus/Human/USA/CA-LACPHL-MA00705/2024	2024-10-03	PQ479561	Fox et al.	Los Angeles County Department of Public Health, Los Angeles County Public Health Laboratories	Los Angeles County
2483	hMpxV/USA/CA-CDPH-1MPX1000059/2022	2022-06-14	OQ348839	Probert et al.	CDPH, VRDL	Other California
2484	MPXV/Germany/2024/ON/RKI1187	2024-12-XX	PV008676	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2485	NY-NYCPHL-000018	2022-07-XX	OQ504378	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2486	NY-NYCPHL-000457	2022-07-XX	OQ468993	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2487	hMpxV/USA/IL-RIPHL-004-0177/2024	2024-03-26	PP835930	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
2488	MPXV-ROK-P53/18-2023	2023-09-15	OR855761	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
2489	MPX/Human/USA/CA-LACPHL-MA00102/2022	2022-09-01	OP539887	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2490	MPXV/Germany/2022/RKI398	2022-09-XX	OP524000	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2491	9000423	2022-08-XX	OP536797	Groves et al.	UKHSA, Research and Evaluation	Global
2492	hMPXV/Australia/VIC-8904/2024	2024-06-17	PQ153178	Edenborough et al.	Melbourne Health, VIDRL	Global
2493	MPXV/UZ_REGA_29	2022-07-15	OR030940	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2494	NY-NYCPHL-000319	2022-08-XX	OQ468481	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2495	MPXV_USA_2022_CA0061	2022-12-XX	PQ686920	Gigante et al.	CDC, DHCPP-PRB	North America
2496	MpxV/human/CAN/UN-NML-3817/2022	2022-06-16	OP062229	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
2497	NY-NYCPHL-000962	2022-07-XX	OQ468540	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2498	NY-NYCPHL-000463	2022-07-XX	OQ469188	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2499	MPXV/Human/USA/CA-CDPH-MPX000037/2022	2022-08-11	OP587259	Probert et al.	CDPH, VRDL	Other California
2500	hMpxV/Canada/ON-PHOL120/2022	2022-07-01	OR759208	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
2501	MPXV/Germany/2022/RKI330	2022-09-XX	OP373388	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2502	MPX_L6rBi6_9000265	2022-08-XX	OP415234	Groves et al.	UKHSA, Research and Evaluation	Global
2503	MPXV/Human/USA/CA-CDPH-MPX000041/2022	2022-07-28	OP587262	Probert et al.	CDPH, VRDL	Other California
2504	WA-UW-279946	2024-01-17	PQ552722	Roychoudhury et al.	University of Washington, Laboratory Medicine and Pathology	North America
2505	PrEV_case_1	2022-08-27	OP727821	Berens-Riha et al.	Institute of Tropica Medicine, Department of Clinical Sciences	Global
2506	MPXV/Germany/2022/ON/RKI465	2022-09-XX	OP615329	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2507	NY-NYCPHL-001313	2024-04-XX	PP751805	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2508	NY-NYCPHL-001201	2023-02-XX	PP533287	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2509	MPXV/Human/USA/UT-UPHL-3394265/2022	2022-10-27	OR026626	Iverson et al.	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	North America
2510	Z22IRL00543	2022-08-25	OR146405	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
2511	Slovenia-MPXV-19-2022	2022-07-XX	OP605561	Zakotnik et al.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre	Global
2512	NY-NYCPHL-000930	2022-07-XX	OQ565515	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2513	MPXV/Germany/2022/RKI116	2022-06-XX	OR463708	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2514	MPXV/UZ_REGA_138/Belgium/2022	2022-07-05	OR086947	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
2515	NY-NYCPHL-000416	2022-08-XX	OQ468983	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2516	NY-NYCPHL-000931	2022-07-XX	OQ468692	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2517	ZIRL00350	2022-07-29	OR146440	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
2518	11_A	2022-08-01	OR264364	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
2519	MPXV/Germany/2022/RKI362	2022-09-XX	OP484683	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2520	hMpxV/USA/IL-RIPHL-050-0191/2024	2024-07-26	PQ374433	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
2521	DC_INS_MPX-1119-H	2022-10-24	OQ197862	Laiton-Donato et al.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Global
2522	hMPX/Human/USA/CA-LACPHL-MA00054/2022	2022-07-20	OP440547	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
2523	MPXV22/human/USA-NE-245	2022-08-29	OQ626768	Tegomoh et al.	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health	North America
2524	MPXV_USA_2022_TN0018	2022-09-XX	OQ721941	Gigante et al.	CDC, DHCPP-PRB	North America
2525	NY-NYCPHL-001015	2022-06-XX	OQ468558	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
2526	Monkeypox/PT0177/2022	2022-06-30	OP324492	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
2527	MPV/Human/USA/CA-LACPHL-MA00551/2023	2023-06-27	OR643706	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
2528	TRM289	2022-09-25	PP852991	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
2529	MPXV_USA_2022_MA0209	2022-XX-XX	OP928203	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
2530	MPXV_USA_2022_CT0001	2022-07-XX	OP451011	Gigante et al.	CDC, DHCPP-PRB	North America
2531	MPXV/Germany/2024/ON/RKI1157	2024-11-XX	PQ662916	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2532	MPXV_USA_2022_CA0003	2022-07-XX	OQ557941	Gigante et al.	CDC, DHCPP-PRB	North America
2533	MPXV/Germany/2022/ON/RKI867	2022-07-XX	OQ773486	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2534	MPXV/Germany/2022/ON/RKI825	2022-07-XX	OQ773444	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2535	hMpxV/Canada/ON-PHOL105/2022	2022-07-01	OR759193	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
2536	MPXV/Germany/2022/ON/RKI955	2022-06-XX	OR449669	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2537	MPXV_USA_2024_VA0011	2024-01-XX	PQ686948	Gigante et al.	CDC, DHCPP-PRB	North America
2538	MPXV/Germany/2022/RKI203	2022-08-XX	OP215211	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2539	MPXV/Germany/2022/ON/RKI946	2022-06-XX	OR449660	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2540	MPXV_USA_2022_NY0031	2022-08-XX	OP687941	Gigante et al.	CDC, DHCPP-PRB	New York City
2541	MPXV/Germany/2022/RKI135	2022-07-XX	ON929090	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
2542	MpxV/human/CAN/UN-NML-3472/2022	2022-06-02	ON880516	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
